urn:lsid:ipni.org:names:30000532-2	urn:kew.org:sanbi:LSP:tab1fam:ref:252	Brandbyge: 531 (1993).	Brandbyge	1993
urn:lsid:ipni.org:names:30000177-2	urn:kew.org:sanbi:LSP:tab1fam:ref:254	Gilbert: 120 (1993).	Gilbert	1993
urn:lsid:ipni.org:names:77126675-1	urn:kew.org:sanbi:LSP:tab1fam:ref:256	Kupicha: 184 (1983).	Kupicha	1983
urn:lsid:ipni.org:names:30004394-2	urn:kew.org:sanbi:LSP:tab1fam:ref:258	Johnson & Briggs: 83 (1975).	Johnson & Briggs	1975
urn:lsid:ipni.org:names:50940045-1	urn:kew.org:sanbi:LSP:tab1fam:ref:260	Dahlgren & Van Wyk: 52 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:30012988-2	urn:kew.org:sanbi:LSP:tab1fam:ref:262	Meijer: 557 (1993).	Meijer	1993
urn:lsid:ipni.org:names:30000277-2	urn:kew.org:sanbi:LSP:tab1fam:ref:264	Thulin: 21 (1993).	Thulin	1993
urn:lsid:ipni.org:names:77126584-1	urn:kew.org:sanbi:LSP:tab1fam:ref:266	Abdallah & De Wit: 99 (1978).	Abdallah & De Wit	1978
urn:lsid:ipni.org:names:50033316-1	urn:kew.org:sanbi:LSP:tab1fam:ref:268	Suessenguth: 1 (1969).	Suessenguth	1969
urn:lsid:ipni.org:names:30008579-2	urn:kew.org:sanbi:LSP:tab1fam:ref:270	Torre & Gonçalves: 81 (1978).	Torre & Gonçalves	1978
urn:lsid:ipni.org:names:892855-1	urn:kew.org:sanbi:LSP:tab1fam:ref:272	Dahlgren & Van Wyk: 45 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:77126645-1	urn:kew.org:sanbi:LSP:tab1fam:ref:274	Dahlgren & Van Wyk: 61 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:30000200-2	urn:kew.org:sanbi:LSP:tab1fam:ref:276	Phipps et al.: 2209 (1990) (subfamily Maloideae).	Phipps et al.	1990
urn:lsid:ipni.org:names:30032120-2	urn:kew.org:sanbi:LSP:tab1fam:ref:278	Verdcourt: 1 (1976).	Verdcourt	1976
urn:lsid:ipni.org:names:30001492-2	urn:kew.org:sanbi:LSP:tab1fam:ref:280	Schreiber: 3 (1973).	Schreiber	1973
urn:lsid:ipni.org:names:30002644-2	urn:kew.org:sanbi:LSP:tab1fam:ref:282	Wilmot-Dear: 120 (1991).	Wilmot-Dear	1991
urn:lsid:ipni.org:names:77126678-1	urn:kew.org:sanbi:LSP:tab1fam:ref:284	Vickery: 375 (1983).	Vickery	1983
urn:lsid:ipni.org:names:30016540-2	urn:kew.org:sanbi:LSP:tab1fam:ref:286	Pilger: 52 (1935).	Pilger	1935
urn:lsid:ipni.org:names:30000506-2	urn:kew.org:sanbi:LSP:tab1fam:ref:288	Davies & Verdcourt: 1 (1998).	Davies & Verdcourt	1998
urn:lsid:ipni.org:names:30000114-2	urn:kew.org:sanbi:LSP:tab1fam:ref:290	Pennington: 117 (1991).	Pennington	1991
urn:lsid:ipni.org:names:30466893-2	urn:kew.org:sanbi:LSP:tab1fam:ref:292	Hilliard: 1 (1999).	Hilliard	1999
urn:lsid:ipni.org:names:30000631-2	urn:kew.org:sanbi:LSP:tab1fam:ref:294	D’Arcy: 75 (1991).	D’Arcy	1991
